camera_id,cam_loc,remarks,dir_start_1,dir_finish_1,dir_start_2,dir_finish_2,dir_start_3,dir_finish_3,dir_start_4,dir_finish_4,dir_start_5,dir_finish_5
1001,1.29531332 103.871146,TRUE (left),"1.2952719096725678, 103.87068089160921","1.2954046383155724, 103.87157229738281","1.295216922089859, 103.87161591936747","1.29509936242626, 103.87072261698584",,,,,,
1002,1.319541067 103.8785627,TRUE (left),"1.319649819147653, 103.87894320461515","1.3195731538491529, 103.87805455346877","1.319965499763606, 103.8780229770321","1.320015106713897, 103.8789296718566",,,,,,
1003,1.323957439 103.8728576,SPECIAL (5 lanes),"1.3243485357876017, 103.87259422178255","1.3236450201732457, 103.87318289678052","1.3242604438305734, 103.87254819519728","1.3235727121981464, 103.87313687019525","1.3242430071899904, 103.87253154457481","1.3235446489245515, 103.8730578453694","1.3241951744383653, 103.87239757709983","1.3234553610956037, 103.87294301610511","1.3234508192286978, 103.87274226447113","1.3241810660223483, 103.87219682546583"
1004,1.319535712 103.8750668,FALSE,"1.3190823931802873, 103.87484780019736","1.3199849392540122, 103.87489521539808","1.3200152769314712, 103.87503746100026","1.3190542990940002, 103.87518936979822",,,,,,
1005,1.363519886 103.905394,FALSE,"1.3638837686407717, 103.90569850422695","1.363086603829279, 103.90526332703821","1.3631725725961523, 103.90515909298104","1.3639645271526943, 103.90558124091261",,,,,,
1006,1.357098686 103.902042,FALSE,"1.3575347850989687, 103.90229400355385","1.356708095903446, 103.90185019727508","1.3567573938909148, 103.9017401940094","1.3575423694021955, 103.90215744777576",,,,,,
1501,1.27414394350065 103.851316802547,SPECIAL (1 lane),"1.2747579739093062, 103.85091446859154","1.2745273610173036, 103.85179959749458",,,,,,,,
1502,1.27135090682664 103.861828440597,SPECIAL (1 lane),"1.2716380112820493, 103.8621964445982","1.2711284028326109, 103.86146116471566",,,,,,,,
1503,1.27066408655104 103.856977943394,FALSE,"1.27036042638508, 103.85732898659268","1.2707707034577835, 103.85651091290957","1.270963774998865, 103.85659137917348","1.2705829950012366, 103.85740408843898",,,,,,
1504,1.29409891409364 103.876056196568,SPECIAL (1 lane),"1.294461655392097, 103.87636907525676","1.2936821180537554, 103.87592853466721",,,,,,,,
1505,1.2752977149006 103.866390381759,SPECIAL (1 lane),"1.274997621983928, 103.86606840650607","1.2755474163034228, 103.86679070328113",,,,,,,,
1701,1.323604823 103.8587802,FALSE,"1.3236855783389316, 103.85801129506575","1.3243072451343585, 103.85868051928438","1.324198644684519, 103.85878914880838","1.3235631308456395, 103.8581051855105",,,,,,
1702,1.34355015 103.8601984,FALSE,"1.3431709920657753, 103.86046746379714","1.3440042420643437, 103.86007153900867","1.3440275077374522, 103.86028277783564","1.3431630983493599, 103.86055309192774",,,,,,
1703,1.32814722194857 103.862203282048,FALSE,"1.3277780896953049, 103.86176860235966","1.3286281214891114, 103.86209314962409","1.3286415289283189, 103.86228090423988","1.32772982289697, 103.86196976801943",,,,,,
1704,1.28569398886979 103.837524510188,FALSE,"1.2851962997400104, 103.8373901349734","1.2859416600225777, 103.83813329335197","1.285877157699029, 103.83818347446437","1.2851174635435438, 103.83748332846783",,,,,,
1705,1.375925022 103.8587986,FALSE,"1.3752939035761242, 103.85871517155806","1.377181002101763, 103.85832766854271","1.3775743279351014, 103.85845439231892","1.3750420349332322, 103.85900428662228",,,,,,
1706,1.38861 103.85806,FALSE,"1.3881328731525324, 103.85820252757215","1.3890735490646138, 103.85807368348694","1.3891062353467767, 103.85826249475689","1.3880743248463545, 103.85831575419249",,,,,,
1707,1.28036584335876 103.830451146503,TRUE (left 2),"1.280801321270776, 103.83078762618487","1.2800896527667303, 103.82997632036275","1.2801930127259173, 103.82989859719319","1.2808876352521155, 103.83070279876101",,,,,,
1709,1.31384231654635 103.845603032574,FALSE,"1.314335989149464, 103.84560274666563","1.3135066100957833, 103.8452183840237","1.3135086318698048, 103.84504104622607","1.3143742414285526, 103.84549491642198",,,,,,
1711,1.35296 103.85719,TRUE (left 2),"1.3538049062945612, 103.8570523297264","1.3520601411623376, 103.85744276634765","1.3520718509996181, 103.85722802620595","1.3538049062945612, 103.8568375895847",,,,,,
2701,1.447023728 103.7716543,FALSE,"1.449840017605581, 103.76991916653809","1.4528108334585053, 103.76900072604502","1.4528342256938231, 103.76920547392565","1.449845865672098, 103.77010051466092",,,,,,
2702,1.445554109 103.7683397,SPECIAL (4 lanes - JB Causeway),"1.4427580170206893, 103.76841893889475","1.4410016085719772, 103.76848531312038","1.4426448262877596, 103.7682276249505","1.4408181613820847, 103.76830961664096","1.4408220645137788, 103.76816905945732","1.4426604388020037, 103.76810658959792","1.4408142582503656, 103.76802069354125","1.4426565356734522, 103.76796212804805",,
2703,1.35047790791386 103.791033581325,SPECIAL (three expressways),"1.3497999528691824, 103.79123399471045","1.3514385782781768, 103.79010305500627","1.351701269843209, 103.79009716961295","1.349949696089042, 103.79132765694764","1.3515884805035954, 103.79022041976118","1.3501009526471104, 103.79146341109504",,,,
2704,1.429588536 103.769311,TRUE (left),"1.4290384920743018, 103.76960815177947","1.430390571371181, 103.76913979475961","1.4304431256740675, 103.76930228597058","1.4290576027412936, 103.76978020129697",,,,,,
2705,1.36728572 103.7794698,"TRUE (left, slightly)","1.3678992550448292, 103.77929862860677","1.3666522512102817, 103.77951369050368","1.3666474734165597, 103.77937031590574","1.367889699462334, 103.77912179993602",,,,,,
2706,1.414142 103.771168,FALSE,"1.4135945467418294, 103.77130997182037","1.414761192775185, 103.77127692706836","1.4147403287678215, 103.77150128354262","1.41358585340108, 103.77154128508452",,,,,,
2707,1.3983 103.774247,camera under maint.,,,,,,,,,,
2708,1.3865 103.7747,"TRUE (left 2, slightly)","1.3860443190398841, 103.77487463171327","1.38699007372589, 103.77466453142554","1.3860459432638574, 103.77493762803137","1.3870334736073149, 103.7747960134728","1.3870624844808046, 103.77494575345736","1.3860331784761426, 103.7750780818152",,,,
3702,1.33831 103.98032,TRUE (left),"1.337477, 103.980052","1.33915, 103.980744","1.339095, 103.980893","1.337443, 103.980203",,,,,,
3704,1.2958550156561 103.880314665981,TRUE (right),"1.2957290697957233, 103.88024087393629","1.2957236130049619, 103.88047557595266","1.2955326253206247, 103.88040461952912","1.295510798155785, 103.88016991751272",,,,,,
3705,1.32743 103.97383,TRUE (left),"1.3278590372534438, 103.97411967711653","1.3272262058435187, 103.97366906602964","1.327376369243582, 103.97344376048619","1.3279662967983878, 103.97382999856066",,,,,,
3793,1.309330837 103.9350504,TRUE (left),"1.3091913605870942, 103.9346534316507","1.3093629771438422, 103.93552246731828","1.3091591824814015, 103.93566194217851","1.3089446617662115, 103.9346427028153",,,,,,
3795,1.30145145166066 103.910596320237,TRUE (right 2),"1.301341, 103.909586","1.301801, 103.911319","1.3014805977470683, 103.91101434663732","1.3011903750521212, 103.91011243697261",,,,,,
3796,1.297512569 103.8983019,TRUE (left),"1.2974589686239033, 103.89798003349856","1.2976842164016689, 103.89873105197671","1.2975125990489935, 103.89885979800152","1.2971693643087328, 103.89796930466316",,,,,,
3797,1.29565733262976 103.885283049309,FALSE,"1.2957645599757486, 103.88575506731827","1.2956827312923127, 103.88479900320759","1.2958905651028174, 103.88483939585508","1.2958905651028174, 103.88572178256763",,,,,,
3798,1.29158484 103.8615987,SPECIAL (hanging road on right),"1.2911405964991378, 103.86163169231958","1.2920422758924366, 103.86177615386404","1.2920411913314325, 103.8619049905353","1.2911221380314857, 103.86174083216383",,,,,,
4701,1.2871 103.79633,FALSE,"1.2873324471417975, 103.7959697497922","1.2868247296587414, 103.79670021267418","1.2866299886795065, 103.79656803367648","1.2871098860657695, 103.79580278684772",,,,,,
4702,1.27237 103.8324,FALSE,"1.2723069664563156, 103.83285943552983","1.2725919947049156, 103.8320165354426","1.2727177381502324, 103.83202327057337","1.2724333921970852, 103.83287186166875",,,,,,
4703,1.348697862 103.6350413,FALSE,"1.3488026058200213, 103.6346040983896","1.3496353697382981, 103.6344876582497","1.3501953684523114, 103.6339929406353","1.349654, 103.634701",,,,,,
4704,1.27877 103.82375,FALSE,"1.2788695353193904, 103.82328780947957","1.2786871905353223, 103.82415684520129",,,,,,,,
4705,1.32618 103.73028,TRUE (left),"1.3260256046757726, 103.7298386313579","1.326247842825364, 103.73069857244218","1.3259905144397992, 103.73073952201761","1.325785821386713, 103.72988543087268",,,,,,
4706,1.29792 103.78205,TRUE (left),"1.297697976620712, 103.78243668581997","1.2981720701013908, 103.78164900637638","1.2983729571497733, 103.78173741937525","1.2978747572404772, 103.78256528654659",,,,,,
4707,1.33344648135658 103.652700847056,TRUE (left),"1.3336685542341398, 103.65230848324832","1.3330202585128523, 103.6529368469241","1.3329398497293028, 103.65283128182656","1.333568043280777, 103.65218281051317",,,,,,
4708,1.29939 103.7799,TRUE (left),"1.299717784457855, 103.77943222822074","1.2991310307153108, 103.7803036927479","1.298967679974177, 103.78018489565196","1.2994738499703498, 103.77942544540497",,,,,,
4709,1.312019 103.763002,TRUE (right),"1.3115631437417512, 103.76311465187992","1.3121745270924408, 103.76243873521103","1.3123300544122012, 103.76263721867727","1.3116704039895217, 103.7632380334941",,,,,,
4710,1.32153 103.75273,TRUE (left),"1.32139622716849, 103.75317383286838","1.3216769458683302, 103.75231676777352","1.321842602567522, 103.75234312926301","1.3215602331872693, 103.75319799470856",,,,,,
4712,1.341244001 103.6439134,TRUE (left),"1.3410662496397874, 103.64432206352292","1.3416944820310885, 103.64368639412295","1.3417707414433446, 103.6437808364338","1.341171560283121, 103.64444193260977",,,,,,
4713,1.347645829 103.6366955,SPECIAL (kind of a roundabout),"1.3481321182614558, 103.63724483208185","1.3473974713647863, 103.63777121414375","1.3474270233873147, 103.63741745305842","1.3470900104205912, 103.63671826990614",,,,,,
4714,1.31023 103.76438,TRUE (left),"1.3099044874047225, 103.7647000615684","1.310613093754306, 103.76409029224916","1.3106639703859184, 103.76421877248946","1.3100199179096776, 103.7648293819127",,,,,,
4716,1.32227 103.67453,TRUE (left),"1.3223405340977594, 103.67498158116393","1.3222718826116129, 103.67405766056984","1.3224903191518618, 103.67405766056984","1.32248407810812, 103.67498158116393",,,,,,
4798,1.25999999687243 103.823611110166,TRUE (left),"1.2595341215812956, 103.82377702678015","1.2604835557273906, 103.82373963844202","1.2604536522948788, 103.82394901313558","1.2595490733026722, 103.82400135680892",,,,,,
4799,1.26027777363278 103.823888890049,FALSE,"1.2598578509423979, 103.82381184694356","1.2607481288971096, 103.82379038927154","1.2599855783066982, 103.82378505093538","1.2608868356862797, 103.82371911456553",,,,,,
5794,1.3309693 103.9168616,TRUE (left),"1.3312279458003478, 103.91732031956231","1.3308429015600705, 103.91647836775041","1.3310219919118638, 103.91631714293537","1.3313891270923721, 103.91721283635229",,,,,,
5795,1.326024822 103.905625,"SPECIAL (bridge over other roads, crop out below road)","1.326071513552503, 103.90518177527078","1.3263046277444845, 103.90602323882187","1.3261893931438866, 103.90608520422215","1.325923667454188, 103.90518879121966",,,,,,
5797,1.322875288 103.8910793,FALSE,"1.322995589400399, 103.89151247194907","1.3227591178708098, 103.89063304852354","1.3229230146474849, 103.89058057698105","1.3231154803404424, 103.8914814113307",,,,,,
5798,1.32036078126842 103.877174116489,"SPECIAL (bridge over other roads, but should be fine)","1.3198104514842215, 103.87756402330389","1.3198462451802544, 103.87666894341807","1.3200466898685805, 103.8767119072526","1.3200037374367353, 103.87760698713842",,,,,,
5799,1.328171608 103.8685191,"SPECIAL (3 lanes, 2 right dominant)","1.3284778180018861, 103.86818056027423","1.3280529418063627, 103.86893246636447","1.3283688753946026, 103.86810791234281","1.3279476306013052, 103.86887434801933","1.3277497036644152, 103.86881060679725","1.3281889039815178, 103.86798941947977",,,,
6701,1.329334 103.858222,FALSE,"1.3295071423171796, 103.85769557060442","1.3297894186828993, 103.85856232680575","1.3295137068841956, 103.85863127332178","1.3292183013514043, 103.85779078245987",,,,,,
6703,1.328899 103.84121,FALSE,"1.329164831871312, 103.84159291206329","1.3288057268242883, 103.84076128209108","1.329086765561184, 103.84069100350189","1.3294341606223063, 103.84151872910802",,,,,,
6704,1.32657403632366 103.826857295633,FALSE,"1.3265013083739237, 103.82732485041582","1.3265800542888697, 103.8264011280118","1.3267590222680838, 103.82637964609543","1.3266874350779452, 103.82729620786066",,,,,,
6705,1.332124 103.81768,TRUE (right),"1.3315776997821502, 103.81791034300026","1.3319910486698439, 103.8171251472117","1.3321920348011937, 103.81722756405368","1.3317445562222157, 103.81798620732768",,,,,,
6706,1.349428893 103.7952799,TRUE (left),"1.3495220553307083, 103.79476293185435","1.3493412289748563, 103.7955977465766","1.3490630345549732, 103.79562557373399","1.3492647255125583, 103.79478380222237",,,,,,
6708,1.345996 103.69016,FALSE,"1.3456859949902655, 103.68987083822674","1.3463145743831102, 103.69064850628043","1.3462484081388566, 103.69080983103625","1.3455640009445957, 103.68998045633005",,,,,,
6710,1.344205 103.78577,FALSE,"1.3441024362476706, 103.78629265967655","1.3437216935941687, 103.78548500048893","1.3438989358712805, 103.78541277080548","1.3442599849145203, 103.78625982800227",,,,,,
6711,1.33771 103.977827,"SPECIAL (3 lanes, right obstructed)","1.3373727891379648, 103.97814766624792","1.337864605194909, 103.97735898430246","1.3380363504614026, 103.97751515894512","1.3376928599163804, 103.97831945835487","1.3382080957158988, 103.97749173274872","1.3378333787815309, 103.9783741194798",,,,
6712,1.332691 103.770278,TRUE (left),"1.3329790709293001, 103.77067688276776","1.332628298636175, 103.76986669844763","1.3328451396960137, 103.76974548976983","1.3331640235728446, 103.77058119170631",,,,,,
6713,1.340298 103.945652,TRUE (left),"1.3406858607622962, 103.94600669384394","1.3400599210015112, 103.94523622936136","1.3401651503179088, 103.94514033855909","1.3407526764490991, 103.94582323738437",,,,,,
6714,1.361742 103.703341,FALSE,"1.3613833637510975, 103.70305928631984","1.362029209367772, 103.7037550088578","1.3614462449531002, 103.7030069010221","1.3621285878514098, 103.70358264541046",,,,,,
6715,1.356299 103.716071,"TRUE (left, (right slightly obstructed))","1.3562081576562384, 103.7165005707196","1.3565504013874907, 103.7156999376402","1.3566828828188549, 103.71571374165883","1.3563930796783312, 103.71655854759776",,,,,,
6716,1.322893 103.6635051,"SPECIAL (4 roads, middle 2 tunnel)","1.3237270978589106, 103.66296668389822","1.3223385491207835, 103.66456928278777","1.3236802050436591, 103.66277645671295","1.3222499737527884, 103.6643191210099","1.3221249261690462, 103.66416276989872","1.323612470975623, 103.66261489389808","1.3231472748673219, 103.66396124722503","1.3223792184332175, 103.66345563944091",,
7791,1.354245 103.963782,FALSE,"1.35376449429825, 103.96380928217482","1.354914008914238, 103.9634090846374","1.3547285299439045, 103.96368485886308","1.3538597369949599, 103.96391016442055",,,,,,
7793,1.37704704 103.92946983,"SPECIAL (3 lanes, left obstructed)","1.3766072124145114, 103.92976857442686","1.3769499433479389, 103.92893856516604","1.377112289562363, 103.9289926962048","1.376783087504927, 103.92981368362582","1.3772250299825393, 103.92907840368281","1.3769679818167553, 103.92992194570331",,,,
7794,1.37988658 103.92009174,"TRUE(right, (left obstructed))","1.3797059576434576, 103.92038766785508","1.380049180830099, 103.91963664935939","1.3796541362303543, 103.92069177814693","1.3802804437815006, 103.91963780209356",,,,,,
7795,1.38432741 103.91585701,"TRUE(right, (left obstructed))","1.3838593059251456, 103.91600877320738","1.3845767313682493, 103.91534811087197","1.3845848158893082, 103.91567460759809","1.3842952218819717, 103.91591064198245",,,,,,
7796,1.39559294 103.90515712,FALSE,"1.3956143502939775, 103.90525365732508","1.395818137696268, 103.90494252109114","1.3953513651348817, 103.90560641067391","1.3958990498128498, 103.90484116378376",,,,,,
7797,1.40002575 103.85702534,FALSE,"1.3998077303710275, 103.85643913544234","1.4003270197673736, 103.8575440193981","1.400004347717975, 103.85678926341961","1.4002081347392348, 103.85717550150312",,,,,,
7798,1.39748842 103.85400467,SPECIAL( bridge over other roads but should be fine),"1.3974310499067162, 103.85414502928775","1.3974077139492396, 103.85386063832358","1.3976192069419526, 103.8535341711398","1.397805, 103.854357",,,,,,
8701,1.38647 103.74143,FALSE,"1.387005, 103.742162","1.385918, 103.740972","1.386065, 103.740819","1.387091, 103.742018",,,,,,
8702,1.39059 103.7717,FALSE,"1.3903212572461756, 103.7723401696238","1.3903759640254592, 103.77115841575967","1.390517, 103.770913","1.390465, 103.772328",,,,,,
8704,1.3899 103.74843,FALSE,"1.3896544989622845, 103.74901068168815","1.3896857953086685, 103.74788020332768","1.3898527091490822, 103.74787498573525","1.3898183177860324, 103.74900691937796",,,,,,
8706,1.3664 103.70899,SPECIAL (bridge over other roads but should be fine),"1.3661095020446279, 103.70859018861196","1.366551, 103.709452","1.366635, 103.710067","1.366258, 103.709167",,,,,,
9701,1.39466333 103.83474601,FALSE,"1.3944549187044473, 103.83431974319035","1.3947174597295262, 103.83529543297531","1.394617, 103.835384","1.39432, 103.834299",,,,,,
9702,1.39474081 103.81797086,FALSE,"1.394812, 103.817505","1.394566, 103.818366","1.394341, 103.818471","1.394647, 103.81732",,,,,,
9703,1.422857 103.773005,FALSE,"1.422605, 103.772619","1.423203, 103.773357","1.423002, 103.773248","1.42248, 103.772602",,,,,,
9704,1.42214311 103.79542062,FALSE,"1.4221323734369995, 103.79556007266758","1.4223468840495777, 103.79517383458408","1.422002, 103.795809","1.422470, 103.794960",,,,,,
9705,1.42627712 103.78716637,FALSE,"1.4259469326490621, 103.78754959269028","1.4261426732598654, 103.78668323917756","1.42630927550037, 103.78698400759795","1.426180569356523, 103.78734878801014",,,,,,
9706,1.41270056 103.80642712,FALSE,"1.4122816960944804, 103.80653237214776","1.4131387024061939, 103.80619856910721","1.413173, 103.806340","1.412331, 103.806669",,,,,,
